,Rsmiles,Psmiles
8725,[C:1]([C@@:2]([O:3][H:12])([C:4]([C:5](=[O:6])[N:7]([H:15])[H:16])([H:13])[H:14])[H:11])([H:8])([H:9])[H:10],[C-:2](=[O+:3][H:12])[C:4]([C:5](=[O:6])[N:7]([H:15])[H:16])([H:13])[H:14].[C:1]([H:8])([H:9])([H:10])[H:11]
8726,[C:1]([C@@:2]([O:3][H:12])([C:4]([C:5](=[O:6])[N:7]([H:15])[H:16])([H:13])[H:14])[H:11])([H:8])([H:9])[H:10],[C:1]([C:2](=[O:3])[H:11])([C:4]([C:5](=[O:6])[N:7]([H:15])[H:16])([H:13])[H:14])([H:8])[H:10].[H:9][H:12]
8727,[C:1]([C@@:2]([O:3][H:12])([C:4]([C:5](=[O:6])[N:7]([H:15])[H:16])([H:13])[H:14])[H:11])([H:8])([H:9])[H:10],[C:1]1([H:8])([H:10])[C@@:2]([O:3][H:12])([H:11])[C:4]([H:13])([H:14])[C@@:5]1([O:6][H:9])[N:7]([H:15])[H:16]
8729,[C:1]([C@@:2]([O:3][H:12])([C:4]([C:5](=[O:6])[N:7]([H:15])[H:16])([H:13])[H:14])[H:11])([H:8])([H:9])[H:10],[C:1]([C:2]([O:3][H:12])=[C:4]([H:13])[H:14])([H:8])([H:9])[H:10].[C:5](=[O:6])=[N:7][H:15].[H:11][H:16]
8731,[C:1]([C@@:2]([O:3][H:12])([C:4]([C:5](=[O:6])[N:7]([H:15])[H:16])([H:13])[H:14])[H:11])([H:8])([H:9])[H:10],[C:1]([C:2]([O:3][H:12])([C:4]([H:13])([H:14])[H:15])[H:11])([H:8])([H:9])[H:10].[C:5](=[O:6])=[N:7][H:16]
8733,[C:1]([C@@:2]([O:3][H:12])([C:4]([C:5](=[O:6])[N:7]([H:15])[H:16])([H:13])[H:14])[H:11])([H:8])([H:9])[H:10],[C:1]([C:2](=[O:3])[C:4]([C:5](=[O:6])[N:7]([H:15])[H:16])([H:13])[H:14])([H:8])([H:9])[H:10].[H:11][H:12]
8734,[C:1]([C@@:2]([O:3][H:12])([C:4]([C:5](=[O:6])[N:7]([H:15])[H:16])([H:13])[H:14])[H:11])([H:8])([H:9])[H:10],[C:1]([C@@:2]([O:3][H:12])([C:4]([O+:6]=[C-:5][N:7]([H:15])[H:16])([H:13])[H:14])[H:11])([H:8])([H:9])[H:10]
8735,[C:1]([C@@:2]([O:3][H:12])([C:4]([C:5](=[O:6])[N:7]([H:15])[H:16])([H:13])[H:14])[H:11])([H:8])([H:9])[H:10],[C:1]([H:8])([H:9])([H:10])[H:12].[C:2](=[O:3])([C:4]([C:5](=[O:6])[N:7]([H:15])[H:16])([H:13])[H:14])[H:11]
8737,[C:1]([C@@:2]([O:3][H:12])([C:4]([C:5](=[O:6])[N:7]([H:15])[H:16])([H:13])[H:14])[H:11])([H:8])([H:9])[H:10],[C:1]([C@@:2]([O:3][H:12])([C:4](/[C:5]([O:6][H:16])=[N:7]\[H:15])([H:13])[H:14])[H:11])([H:8])([H:9])[H:10]
8738,[N:1]([C:2](=[O:3])[N:4]([C:5]([C:6]([O:7][H:15])([H:13])[H:14])([H:11])[H:12])[H:10])([H:8])[H:9],[C:5]1([H:11])([H:12])[C:6]([H:13])([H:14])[O:7]1.[N:1]([C+:2]([O:3][H:15])[N-:4][H:10])([H:8])[H:9]
8739,[N:1]([C:2](=[O:3])[N:4]([C:5]([C:6]([O:7][H:15])([H:13])[H:14])([H:11])[H:12])[H:10])([H:8])[H:9],[C:6](=[O:7])([H:13])[H:14].[N:1]([C@:2]([O:3][H:15])([N:4]=[C:5]([H:11])[H:12])[H:10])([H:8])[H:9]
8741,[N:1]([C:2](=[O:3])[N:4]([C:5]([C:6]([O:7][H:15])([H:13])[H:14])([H:11])[H:12])[H:10])([H:8])[H:9],[N:1]([C:2](=[O:3])[H:11])([H:8])[H:9].[N:4](=[C:5](\[C:6]([O:7][H:15])([H:13])[H:14])[H:12])\[H:10]
8742,[N:1]([C:2](=[O:3])[N:4]([C:5]([C:6]([O:7][H:15])([H:13])[H:14])([H:11])[H:12])[H:10])([H:8])[H:9],[N:1]([C@@:2]1([O:3][H:15])[N:4]([H:10])[C:5]([H:11])([H:12])[C:6]([H:13])([H:14])[O:7]1)([H:8])[H:9]
8743,[N:1]([C:2](=[O:3])[N:4]([C:5]([C:6]([O:7][H:15])([H:13])[H:14])([H:11])[H:12])[H:10])([H:8])[H:9],[C:2]1(=[O:3])[N:4]([H:10])[C:5]([H:11])([H:12])[C:6]([H:13])([H:14])[O:7]1.[N:1]([H:8])([H:9])[H:15]
8744,[N:1]([C:2](=[O:3])[N:4]([C:5]([C:6]([O:7][H:15])([H:13])[H:14])([H:11])[H:12])[H:10])([H:8])[H:9],[N:1](/[C:2]([O:3][H:10])=[N:4]\[C:5]([C:6]([O:7][H:15])([H:13])[H:14])([H:11])[H:12])([H:8])[H:9]
8745,[N:1]([C:2](=[O:3])[N:4]([C:5]([C:6]([O:7][H:15])([H:13])[H:14])([H:11])[H:12])[H:10])([H:8])[H:9],[C:5]([C:6](=[O:7])[H:13])([H:11])([H:12])[H:14].[N:1]([C+:2]([O:3][H:15])[N-:4][H:10])([H:8])[H:9]
8746,[N:1]([C:2](=[O:3])[N:4]([C:5]([C:6]([O:7][H:15])([H:13])[H:14])([H:11])[H:12])[H:10])([H:8])[H:9],[N:1](=[C:2](/[O:3][H:9])[N:4]([C:5]([C:6]([O:7][H:15])([H:13])[H:14])([H:11])[H:12])[H:10])\[H:8]
8747,[N:1]([C:2](=[O:3])[N:4]([C:5]([C:6]([O:7][H:15])([H:13])[H:14])([H:11])[H:12])[H:10])([H:8])[H:9],[N:1]([C+:2]([O:3][C:5]([C:6]([O:7][H:15])([H:13])[H:14])([H:11])[H:12])[N-:4][H:10])([H:8])[H:9]
8748,[N:1]([C:2](=[O:3])[N:4]([C:5]([C:6]([O:7][H:15])([H:13])[H:14])([H:11])[H:12])[H:10])([H:8])[H:9],[N:1]([C:2](=[O:3])[N:4]([C:5](=[C:6]([H:13])[H:14])[H:12])[H:10])([H:8])[H:9].[O:7]([H:11])[H:15]
8751,[O:1]=[C:2]([c:3]1[n:4][o:5][c:6]([H:9])[c:7]1[H:10])[H:8],[O:1]([C+:2]=[C:3]1[N-:4][O:5][C:6]([H:9])=[C:7]1[H:10])[H:8]
8753,[O:1]=[C:2]([c:3]1[n:4][o:5][c:6]([H:9])[c:7]1[H:10])[H:8],[O:1]=[C:2]([C:3]1=[N:4][C@:7]1([C:6](=[O:5])[H:9])[H:10])[H:8]
8756,[O:1]=[C:2]([c:3]1[n:4][o:5][c:6]([H:9])[c:7]1[H:10])[H:8],[O:1]=[C:2]([N:4]=[C:3]=[C:7]([C:6](=[O:5])[H:9])[H:10])[H:8]
8757,[O:1]=[C:2]([c:3]1[n:4][o:5][c:6]([H:9])[c:7]1[H:10])[H:8],[C:6](#[C:7][H:10])[H:9].[O-:1][C:2](=[C:3]=[N+:4]=[O:5])[H:8]
8758,[O:1]=[C:2]([C@@:3]1([H:9])[O:4][C@@:5]2([H:10])[C:6]([H:11])([H:12])[C@@:7]12[H:13])[H:8],[O:1](/[C:2](=[C:3]1/[O:4][C@@:5]2([H:10])[C:6]([H:11])([H:12])[C@@:7]12[H:13])[H:8])[H:9]
8759,[O:1]=[C:2]([C@@:3]1([H:9])[O:4][C@@:5]2([H:10])[C:6]([H:11])([H:12])[C@@:7]12[H:13])[H:8],[O:1]=[C:2]([C@@:3]1([H:9])[O+:4]=[C-:5][C@:7]1([C:6]([H:10])([H:11])[H:12])[H:13])[H:8]
8760,[O:1]=[C:2]([C@@:3]1([H:9])[O:4][C@@:5]2([H:10])[C:6]([H:11])([H:12])[C@@:7]12[H:13])[H:8],[O:1](/[C:2](=[C:3](\[O:4][C:5]1([H:10])[C:6]([H:11])=[C:7]1[H:13])[H:9])[H:8])[H:12]
8762,[O:1]=[C:2]([C@@:3]1([H:9])[O:4][C@@:5]2([H:10])[C:6]([H:11])([H:12])[C@@:7]12[H:13])[H:8],[O:1]=[C:2]([C@@:3]1([H:9])[O:4][C@:5]([C:6][H:12])([H:10])[C:7]1([H:11])[H:13])[H:8]
8763,[O:1]=[C:2]([C@@:3]1([H:9])[O:4][C@@:5]2([H:10])[C:6]([H:11])([H:12])[C@@:7]12[H:13])[H:8],[O:1]([C@:2]1([H:8])[C@@:3]2([H:9])[O:4][C@@:5]3([H:10])[C@:6]1([H:11])[C@@:7]23[H:13])[H:12]
8766,[O:1]=[C:2]([C@@:3]1([H:9])[O:4][C@@:5]2([H:10])[C:6]([H:11])([H:12])[C@@:7]12[H:13])[H:8],[O:1]=[C:2]([C@@:3]1([H:9])[O:4][C@:5]([C:6]([H:11])([H:12])[H:13])([H:10])[C:7]1)[H:8]
8768,[O:1]=[C:2]([C@@:3]1([H:9])[O:4][C@@:5]2([H:10])[C:6]([H:11])([H:12])[C@@:7]12[H:13])[H:8],[O:1]=[C:2]([C@@:3]1([H:9])[O:4][C:5]([H:10])([H:11])[C@:7]1([C:6][H:12])[H:13])[H:8]
8769,[O:1]=[C:2]([C@@:3]1([H:9])[O:4][C@@:5]2([H:10])[C:6]([H:11])([H:12])[C@@:7]12[H:13])[H:8],[O:1]=[C:2]([C@@:3]([O:4][H:10])([C@@:7]1([H:13])[C:5][C:6]1([H:11])[H:12])[H:9])[H:8]
8775,[O:1]=[C:2]1[C:3]([H:8])([H:9])[C:4]([H:10])([H:11])[C:5]([H:12])([H:13])[C:6]([H:14])=[C:7]1[H:15],[O:1]=[C:2]1[C@:3]([C:4]([H:9])([H:10])[H:11])([H:8])[C@:7]1([C:6](=[C:5]([H:12])[H:13])[H:14])[H:15]
8776,[O:1]=[C:2]1[C:3]([H:8])([H:9])[C:4]([H:10])([H:11])[C:5]([H:12])([H:13])[C:6]([H:14])=[C:7]1[H:15],[C:3](=[C:4]([H:10])[H:11])([H:8])[H:9].[O:1]=[C:2]=[C:7]([C:6](=[C:5]([H:12])[H:13])[H:14])[H:15]
8779,[O:1]=[C:2]1[C:3]([H:8])([H:9])[C:4]([H:10])([H:11])[C:5]([H:12])([H:13])[C:6]([H:14])=[C:7]1[H:15],[O:1]=[C:2]([C@:3]1([H:9])[C:4]([H:10])([H:11])[C:5]([H:12])([H:13])[C:6]([H:14])=[C:7]1[H:15])[H:8]
8780,[O:1]=[C:2]1[C:3]([H:8])([H:9])[C:4]([H:10])([H:11])[C:5]([H:12])([H:13])[C:6]([H:14])=[C:7]1[H:15],[O:1]1[C:2](=[C:3]([H:8])[H:9])[C:7]([H:15])=[C:6]([H:14])[C:5]([H:12])([H:13])[C:4]1([H:10])[H:11]
8783,[O:1]=[C:2]1[C:3]([H:8])([H:9])[C:4]([H:10])([H:11])[C:5]([H:12])([H:13])[C:6]([H:14])=[C:7]1[H:15],[O:1]=[C:2]=[C:7]([C@:6]1([H:14])[C@@:4]([C:3]([H:8])([H:9])[H:10])([H:11])[C:5]1([H:12])[H:13])[H:15]
8784,[O:1]=[C:2]1[C:3]([H:8])([H:9])[C:4]([H:10])([H:11])[C:5]([H:12])([H:13])[C:6]([H:14])=[C:7]1[H:15],[O:1]1[C:2]2=[C:7]([H:15])[C@:6]1([H:14])[C:5]([H:12])([H:13])[C:4]([H:10])([H:11])[C:3]2([H:8])[H:9]
8785,[O:1]=[C:2]1[C:3]([H:8])([H:9])[C:4]([H:10])([H:11])[C:5]([H:12])([H:13])[C:6]([H:14])=[C:7]1[H:15],[O:1]([C:2]1=[C:7]([H:15])[C:6]([H:14])=[C:5]([H:13])[C:4]([H:10])([H:11])[C:3]1([H:8])[H:9])[H:12]
8786,[O:1]=[C:2]1[C:3]([H:8])([H:9])[C:4]([H:10])([H:11])[C:5]([H:12])([H:13])[C:6]([H:14])=[C:7]1[H:15],[O:1]=[C:2]([C:3]([C:4]([C:5]([H:12])([H:13])[H:14])([H:10])[H:11])([H:8])[H:9])[C:7](=[C:6])[H:15]
8787,[O:1]=[C:2]1[C:3]([H:8])([H:9])[C:4]([H:10])([H:11])[C:5]([H:12])([H:13])[C:6]([H:14])=[C:7]1[H:15],[O:1]=[C:2]1[C@@:4]([C:3]([H:8])([H:9])[H:10])([H:11])[C:5]([H:12])([H:13])[C:6]([H:14])=[C:7]1[H:15]
8789,[O:1]=[C:2]1[C:3]([H:8])([H:9])[C:4]([H:10])([H:11])[C:5]([H:12])([H:13])[C:6]([H:14])=[C:7]1[H:15],[O:1]=[C:2]1[C:3]([H:8])([H:9])[C:4]([H:10])([H:11])[C@:6]2([H:14])[C:5]([H:12])([H:13])[C@:7]12[H:15]
8790,[O:1]=[C:2]1[C:3]([H:8])([H:9])[C:4]([H:10])([H:11])[C:5]([H:12])([H:13])[C:6]([H:14])=[C:7]1[H:15],[H:8][H:12].[O-:1][C:2]1=[C:7]([H:15])[C:6]([H:14])=[C:5]([H:13])[C:4]([H:10])([H:11])[C+:3]1[H:9]
8791,[O:1]=[C:2]1[C:3]([H:8])([H:9])[C:4]([H:10])([H:11])[C:5]([H:12])([H:13])[C:6]([H:14])=[C:7]1[H:15],[O:1]1[C@@:2]23[C:3]([H:8])([H:9])[C:4]([H:10])([H:11])[C:5]([H:12])([H:13])[C@:6]2([H:14])[C@@:7]13[H:15]
8792,[O:1]=[C:2]1[C:3]([H:8])([H:9])[C:4]([H:10])([H:11])[C:5]([H:12])([H:13])[C:6]([H:14])=[C:7]1[H:15],[O:1]([C:2]1=[C:7]=[C:6]([H:14])[C:5]([H:12])([H:13])[C:4]([H:10])([H:11])[C:3]1([H:8])[H:9])[H:15]
8795,[O:1]=[C:2]1[C:3]([H:8])([H:9])[C:4]([H:10])([H:11])[C:5]([H:12])([H:13])[C:6]([H:14])=[C:7]1[H:15],[O:1]=[C:2]1[C:3]([H:8])([H:9])[C:4]([H:10])([H:11])[C:5]([H:12])([H:13])[C:6][C:7]1([H:14])[H:15]
8796,[O:1]=[C:2]1[C:3]([H:8])([H:9])[C:4]([H:10])([H:11])[C:5]([H:12])([H:13])[C:6]([H:14])=[C:7]1[H:15],[O:1]=[C:2]=[C:7]([C:6]1([H:14])[C:3]([H:8])([H:9])[C:4]([H:10])([H:11])[C:5]1([H:12])[H:13])[H:15]
8798,[O:1]=[C:2]1[C:3]([H:8])([H:9])[C:4]([H:10])([H:11])[C:5]([H:12])([H:13])[C:6]([H:14])=[C:7]1[H:15],[O:1]=[C:2](/[C:7](=[C:6](\[C:5]([C:4](=[C:3]([H:8])[H:9])[H:10])([H:12])[H:13])[H:14])[H:15])[H:11]
8803,[N:1]([c:2]1[c:3]([O:4][H:10])[n:5]([H:11])[c:6]([H:12])[c:7]1[H:13])([H:8])[H:9],[N:1]([C:2]1=[C:3]([O:4][H:10])[N+:5]([H:11])([H:12])[C-:6]=[C:7]1[H:13])([H:8])[H:9]
8804,[N:1]([c:2]1[c:3]([O:4][H:10])[n:5]([H:11])[c:6]([H:12])[c:7]1[H:13])([H:8])[H:9],[N-:1]([C:2]1=[C:3]([O:4][H:10])[N:5]([H:11])[C+:6]([H:12])[C:7]1([H:9])[H:13])[H:8]
8806,[N:1]([c:2]1[c:3]([O:4][H:10])[n:5]([H:11])[c:6]([H:12])[c:7]1[H:13])([H:8])[H:9],[N:1]([C@@:2]1([O:4][H:10])[C:3][N:5]([H:11])[C:6]([H:12])=[C:7]1[H:13])([H:8])[H:9]
8807,[N:1]([c:2]1[c:3]([O:4][H:10])[n:5]([H:11])[c:6]([H:12])[c:7]1[H:13])([H:8])[H:9],[N:1]([C@@:2]1([H:13])[C+:3]([O:4][H:10])[N:5]([H:11])[C:6]([H:12])=[C-:7]1)([H:8])[H:9]
8808,[N:1]([c:2]1[c:3]([O:4][H:10])[n:5]([H:11])[c:6]([H:12])[c:7]1[H:13])([H:8])[H:9],[N:1]([C:2]1=[C:7]([H:13])[C:6]([H:10])([H:12])[N:5]([H:11])[C:3]1=[O:4])([H:8])[H:9]
8809,[N:1]([c:2]1[c:3]([O:4][H:10])[n:5]([H:11])[c:6]([H:12])[c:7]1[H:13])([H:8])[H:9],[N:1]([C:2]1=[C:7]([H:13])[C:6]([H:11])([H:12])[N:5]=[C:3]1[O:4][H:10])([H:8])[H:9]
8810,[N:1]([c:2]1[c:3]([O:4][H:10])[n:5]([H:11])[c:6]([H:12])[c:7]1[H:13])([H:8])[H:9],[N:1]([C:2]1=[C:3]([O:4][H:10])[N:5]([H:11])[C:6][C:7]1([H:12])[H:13])([H:8])[H:9]
8811,[N:1]([c:2]1[c:3]([O:4][H:10])[n:5]([H:11])[c:6]([H:12])[c:7]1[H:13])([H:8])[H:9],[N:1]([C:2]1(/[C:3]([O:4][H:10])=[N:5]/[H:11])[C:6]([H:12])=[C:7]1[H:13])([H:8])[H:9]
8812,[N:1]([c:2]1[c:3]([O:4][H:10])[n:5]([H:11])[c:6]([H:12])[c:7]1[H:13])([H:8])[H:9],[N:1]([C:2]1=[C-:7][C:6]([H:12])([H:13])[N:5]([H:11])[C+:3]1[O:4][H:10])([H:8])[H:9]
8813,[N:1]([c:2]1[c:3]([O:4][H:10])[n:5]([H:11])[c:6]([H:12])[c:7]1[H:13])([H:8])[H:9],[N:1]1([H:9])[C:2]2=[C:3]([O:4][H:10])[N:5]([H:11])[C:6]([H:8])([H:12])[C@@:7]12[H:13]
8814,[N:1]([c:2]1[c:3]([O:4][H:10])[n:5]([H:11])[c:6]([H:12])[c:7]1[H:13])([H:8])[H:9],[N:1]([C:2]1=[C-:3][N:5]([H:11])[C@:6]([O:4][H:10])([H:12])[C+:7]1[H:13])([H:8])[H:9]
8815,[N:1]([c:2]1[c:3]([O:4][H:10])[n:5]([H:11])[c:6]([H:12])[c:7]1[H:13])([H:8])[H:9],[H:8][H:10].[N:1](=[C:2]1/[C:3](=[O:4])[N:5]([H:11])[C:6]([H:12])=[C:7]1[H:13])\[H:9]
8817,[N:1]([c:2]1[c:3]([O:4][H:10])[n:5]([H:11])[c:6]([H:12])[c:7]1[H:13])([H:8])[H:9],[N:1]([C:2](/[C:3]([O:4][H:10])=[N:5]/[H:11])=[C:7]=[C:6]([H:12])[H:13])([H:8])[H:9]
8819,[N:1]([c:2]1[c:3]([O:4][H:10])[n:5]([H:11])[c:6]([H:12])[c:7]1[H:13])([H:8])[H:9],[N:1]([C:2]1=[C:7]([H:13])[C:6]([H:12])=[N:5][C@@:3]1([O:4][H:10])[H:11])([H:8])[H:9]
8821,[C:1]([c:2]1[c:3]([H:11])[c:4]([O:5][H:12])[n:6][n:7]1[H:13])([H:8])([H:9])[H:10],[C:1](=[C:2]1[C:3]([H:11])=[C:4]([O:5][H:12])[N:6]=[N:7]1)([H:9])[H:10].[H:8][H:13]
8822,[C:1]([c:2]1[c:3]([H:11])[c:4]([O:5][H:12])[n:6][n:7]1[H:13])([H:8])([H:9])[H:10],[C:1]([C@@:3]1([H:11])[C-:2]=[N+:7]([H:13])[N:6]=[C:4]1[O:5][H:12])([H:8])([H:9])[H:10]
8823,[C:1]([c:2]1[c:3]([H:11])[c:4]([O:5][H:12])[n:6][n:7]1[H:13])([H:8])([H:9])[H:10],[C:1]([C+:2]1[C:3]([H:11])([H:12])[C:4]([O-:5])=[N:6][N:7]1[H:13])([H:8])([H:9])[H:10]
8824,[C:1]([c:2]1[c:3]([H:11])[c:4]([O:5][H:12])[n:6][n:7]1[H:13])([H:8])([H:9])[H:10],[C:1](/[C:2]([C@:3]1([H:11])[C:4]([O:5][H:12])=[N:6]1)=[N:7]\[H:13])([H:8])([H:9])[H:10]
8825,[C:1]([c:2]1[c:3]([H:11])[c:4]([O:5][H:12])[n:6][n:7]1[H:13])([H:8])([H:9])[H:10],[C:1]([C:2][N:7]([N:6]=[C:4]=[C:3]([O:5][H:12])[H:11])[H:13])([H:8])([H:9])[H:10]
8826,[C:1]([c:2]1[c:3]([H:11])[c:4]([O:5][H:12])[n:6][n:7]1[H:13])([H:8])([H:9])[H:10],[C:1]([C@:2]1([H:13])[C:3]([H:11])=[C:4]([O:5][H:12])[N:6]=[N:7]1)([H:8])([H:9])[H:10]
8827,[C:1]([c:2]1[c:3]([H:11])[c:4]([O:5][H:12])[n:6][n:7]1[H:13])([H:8])([H:9])[H:10],[C:1](=[C:2]1[C:3]([H:11])=[C:4]([O:5][H:12])[N-:6][N+:7]1([H:8])[H:13])([H:9])[H:10]
8828,[C:1]([c:2]1[c:3]([H:11])[c:4]([O:5][H:12])[n:6][n:7]1[H:13])([H:8])([H:9])[H:10],[C:1]([c:2]1[c:3]([H:11])[c:4](=[O:5])[n:6]([H:12])[n:7]1[H:13])([H:8])([H:9])[H:10]
8830,[C:1]([c:2]1[c:3]([H:11])[c:4]([O:5][H:12])[n:6][n:7]1[H:13])([H:8])([H:9])[H:10],[C:1]([C@:2]12[C:3]([H:11])=[C:4]([O:5][H:12])[N:6]1[N:7]2[H:13])([H:8])([H:9])[H:10]
8831,[C:1]([c:2]1[c:3]([H:11])[c:4]([O:5][H:12])[n:6][n:7]1[H:13])([H:8])([H:9])[H:10],[C:1](=[C:2]1[C:3]([H:11])=[C:4]([O:5][H:12])[N:6]([H:8])[N:7]1[H:13])([H:9])[H:10]
8832,[C:1]([C@@:2]1([C:3]([C:4]#[N:5])([H:11])[H:12])[C:6]([H:13])([H:14])[N:7]1[H:15])([H:8])([H:9])[H:10],[C:1](=[C:2]1[C:6]([H:13])([H:14])[N:7]1[H:15])([H:8])[H:9].[C:3](=[C:4]=[N:5][H:10])([H:11])[H:12]
8833,[C:1]([C@@:2]1([C:3]([C:4]#[N:5])([H:11])[H:12])[C:6]([H:13])([H:14])[N:7]1[H:15])([H:8])([H:9])[H:10],[C:1]1([H:8])([H:9])[C@@:2]2([C:3]([H:11])([H:12])[C:4][N:5]1[H:10])[C:6]([H:13])([H:14])[N:7]2[H:15]
8835,[C:1]([C@@:2]1([C:3]([C:4]#[N:5])([H:11])[H:12])[C:6]([H:13])([H:14])[N:7]1[H:15])([H:8])([H:9])[H:10],[C:1]([C:2]1=[C:6]([H:13])[N:7]1[H:15])([H:8])([H:9])[H:10].[C:3](=[C:4]=[N:5][H:14])([H:11])[H:12]
8836,[C:1]([C@@:2]1([C:3]([C:4]#[N:5])([H:11])[H:12])[C:6]([H:13])([H:14])[N:7]1[H:15])([H:8])([H:9])[H:10],[C:1]([C@@:2]1([C:3]([N+:5]#[C-:4])([H:11])[H:12])[C:6]([H:13])([H:14])[N:7]1[H:15])([H:8])([H:9])[H:10]
8837,[C:1]([C@@:2]1([C:3]([C:4]#[N:5])([H:11])[H:12])[C:6]([H:13])([H:14])[N:7]1[H:15])([H:8])([H:9])[H:10],[C:1]([C@@:2]12[C:3]([H:11])([H:12])[C:4][N:5]([H:14])[C@:6]1([H:13])[N:7]2[H:15])([H:8])([H:9])[H:10]
8839,[C:1]([C@@:2]1([C:3]([C:4]#[N:5])([H:11])[H:12])[C:6]([H:13])([H:14])[N:7]1[H:15])([H:8])([H:9])[H:10],[C:1]([C+:2]([C:3]([C:4]#[N:5])([H:11])[H:12])[N:7]([C-:6]([H:13])[H:14])[H:15])([H:8])([H:9])[H:10]
8842,[C:1]([C@@:2]1([C:3]([C:4]#[N:5])([H:11])[H:12])[C:6]([H:13])([H:14])[N:7]1[H:15])([H:8])([H:9])[H:10],[C:1]([C@:2]([C:3]([C:4]#[N:5])([H:11])[H:12])([N:7]([C:6][H:14])[H:15])[H:13])([H:8])([H:9])[H:10]
8845,[C:1]([C@@:2]1([C:3]([C:4]#[N:5])([H:11])[H:12])[C:6]([H:13])([H:14])[N:7]1[H:15])([H:8])([H:9])[H:10],[C:1]([C@@:2]1([C:3]([C:4]#[N:5])([H:11])[H:12])[C-:6]([H:13])[N+:7]1([H:14])[H:15])([H:8])([H:9])[H:10]
8848,[C:1]([C@@:2]1([C:3]([C:4]#[N:5])([H:11])[H:12])[C:6]([H:13])([H:14])[N:7]1[H:15])([H:8])([H:9])[H:10],[C:1](/[C:2]([C:6]([N:5]=[C:4]=[C:3]([H:11])[H:12])([H:13])[H:14])=[N:7]\[H:15])([H:8])([H:9])[H:10]
8850,[C:1]([C@@:2]1([C:3]([C:4]#[N:5])([H:11])[H:12])[C:6]([H:13])([H:14])[N:7]1[H:15])([H:8])([H:9])[H:10],[C:1]([C:2](=[C:3]([H:11])[H:12])[C:6]([N:7]([C:4]#[N:5])[H:15])([H:13])[H:14])([H:8])([H:9])[H:10]
8854,[N:1]#[C:2][C@@:3]1([H:8])[C@@:4]2([H:9])[C:5]([H:10])([H:11])[C:6]([H:12])([H:13])[N:7]12,[N:1]#[C:2][C:3](=[N+:7]1[C-:4]([H:9])[C:5]([H:10])([H:11])[C:6]1([H:12])[H:13])[H:8]
8856,[N:1]#[C:2][C@@:3]1([H:8])[C@@:4]2([H:9])[C:5]([H:10])([H:11])[C:6]([H:12])([H:13])[N:7]12,[N:1]#[C:2]/[C:3](=[N:7]/[C:4]1([H:9])[C:5]([H:10])([H:11])[C:6]1([H:12])[H:13])[H:8]
8860,[N:1]#[C:2][C@@:3]1([H:8])[C@@:4]2([H:9])[C:5]([H:10])([H:11])[C:6]([H:12])([H:13])[N:7]12,[N:1]#[C:2]/[C:3](=[C:4](\[N:7]1[C:5]([H:10])([H:11])[C:6]1([H:12])[H:13])[H:9])[H:8]
8861,[N:1]#[C:2][C@@:3]1([H:8])[C@@:4]2([H:9])[C:5]([H:10])([H:11])[C:6]([H:12])([H:13])[N:7]12,[N:1]#[C:2][C@@:3]1([H:8])[C@:4]([C:5][H:10])([H:9])[N:7]1[C:6]([H:11])([H:12])[H:13]
8863,[N:1]#[C:2][C@@:3]1([H:8])[C@@:4]2([H:9])[C:5]([H:10])([H:11])[C:6]([H:12])([H:13])[N:7]12,[N:1]#[C:2][C@@:3]1([H:8])[C@:4]([C:5]([C:6][H:12])([H:10])[H:11])([H:9])[N:7]1[H:13]
8864,[N:1]#[C:2][C@@:3]1([H:8])[C@@:4]2([H:9])[C:5]([H:10])([H:11])[C:6]([H:12])([H:13])[N:7]12,[N+:1](#[C-:2])[C@@:3]1([H:8])[C@@:4]2([H:9])[C:5]([H:10])([H:11])[C:6]([H:12])([H:13])[N:7]12
8865,[N:1]#[C:2][C@@:3]1([H:8])[C@@:4]2([H:9])[C:5]([H:10])([H:11])[C:6]([H:12])([H:13])[N:7]12,[N:1]#[C:2][C@@:3]1([H:8])[C-:4]2[C:5]([H:10])([H:11])[C:6]([H:12])([H:13])[N+:7]12[H:9]
8868,[N:1]#[C:2][C@@:3]1([H:8])[C@@:4]2([H:9])[C:5]([H:10])([H:11])[C:6]([H:12])([H:13])[N:7]12,[N:1]#[C:2][C@@:3]([C:4](=[C:5]([H:10])[H:11])[H:9])([N:7]=[C:6]([H:12])[H:13])[H:8]
8870,[C:1]([n:2]1[c:3]([H:11])[c:4]([H:12])[c:5]([N:6]([H:13])[H:14])[c:7]1[H:15])([H:8])([H:9])[H:10],[C-:1]([N+:2]1([H:8])[C:3]([H:11])=[C:4]([H:12])[C:5]([N:6]([H:13])[H:14])=[C:7]1[H:15])([H:9])[H:10]
8871,[C:1]([n:2]1[c:3]([H:11])[c:4]([H:12])[c:5]([N:6]([H:13])[H:14])[c:7]1[H:15])([H:8])([H:9])[H:10],[C:1]([N:2]1[C:3]([H:11])=[C:4]([H:12])/[C:5](=[N:6]\[H:13])[C:7]1([H:14])[H:15])([H:8])([H:9])[H:10]
8872,[C:1]([n:2]1[c:3]([H:11])[c:4]([H:12])[c:5]([N:6]([H:13])[H:14])[c:7]1[H:15])([H:8])([H:9])[H:10],[C-:1]([N+:2]1=[C:3]([H:11])[C:4]([H:12])=[C:5]([N:6]([H:13])[H:14])[C:7]1([H:8])[H:15])([H:9])[H:10]
